"loc_id","scale","used","jrc_permanent_prop","jrc_semi_prop","jrc_temporary_prop","jrc_dry_prop"
172203,2,0,0,0,0,1
181769,2,0,0,6.91057472404449e-05,0.00502439432877587,0.994906499923984
183771,2,0,0,0,0,1
189237,2,0,0,0,0,1
197183,2,0,0,0,0,1
3187,2,0,0,0,0,1
13691,2,0,0,0,0.000832786533678458,0.999167213466322
17944,2,0,0,0,0,1
21536,2,0,0,0,0,1
21880,2,0,0,0,0,1
25190,2,0,0,0.00013908881011432,0.0221486657564986,0.977712245433387
31180,2,0,0,0.000469048841732408,0.00114890009394455,0.998382051064323
35544,2,0,0,0,0,1
37406,2,0,0,0,0,1
44244,2,0,0,0,0,1
47007,2,0,0,0.143767279360065,0.270127476452285,0.58610524418765
52722,2,0,0,0,0,1
63667,2,0,0,0,0,1
66234,2,0,0,0,0,1
75446,2,0,0,0,0,1
77337,2,0,0,0,0,1
77774,2,0,0,0,0,1
77901,2,0,0,0,0,1
84620,2,0,0,0,0.000205884973007538,0.999794115026992
102161,2,0,0,0.063371329775074,0.0679467821663584,0.868681888058568
109992,2,0,0,0,0,1
113218,2,0,0,0.000209623384872371,0.00139748923248247,0.998392887382645
135105,2,0,0,0,0,1
135360,2,0,0,0,0,1
135656,2,0,0,0,0.00110756731796873,0.998892432682031
140161,2,0,0,0,0.000488835115504755,0.999511164884495
144073,2,0,0,0,0,1
154771,2,0,0,0,0,1
159347,2,0,0,0,0,1
167020,2,0,0,0,0,1
172325,2,0,0,0,0.000143441718083022,0.999856558281917
181236,2,0,0,0,0,1
181387,2,0,0,0,0,1
187110,2,0,0,0,0,1
187469,2,0,0,0.000143306974216546,0.0022878536942571,0.997568839331526
811,2,0,0,0,0,1
10707,2,0,0,0,0,1
12148,2,0,0,0,0,1
14103,2,0,0,0,0,1
14674,2,0,0,0,0,1
23846,2,0,0,0,0,1
29068,2,0,0,0,0,1
29818,2,0,0,0,0,1
33946,2,0,0,0,0,1
34056,2,0,0,0.0100814428284729,0.0220229979048078,0.967895559266719
36251,2,0,0,0,0,1
44805,2,0,0,0,0,1
53906,2,0,0,0,0,1
