id,species,stop_id,start,end,duration,lon,lat
txs_176533,BBSA,366,9/25/2018 14:02,9/27/2018 14:02,2,-65.69566666,-14.10346667
ak_172767,BBSA,303,9/26/2018 15:00,10/4/2018 21:07,8.254861111,-73.14364001,-3.471520002
txs_175226,BBSA,339,9/27/2018 13:58,10/5/2018 14:02,8.002777778,-65.20399922,-15.03382055
txs_175228,BBSA,342,9/27/2018 13:58,9/29/2018 13:58,2,-66.07205021,-14.02690016
txs_176524,BBSA,357,9/27/2018 13:58,10/11/2018 13:58,14,-65.75256587,-13.31668979
txs_176532,BBSA,364,9/27/2018 13:58,10/5/2018 13:58,8,-67.40714,-13.33162001
ak_175246,BBSA,315,9/28/2018 15:00,10/2/2018 15:00,4,-66.90164993,-14.09980005
ak_175248,BBSA,317,9/28/2018 15:00,10/4/2018 21:03,6.252083333,-67.92064997,-10.00056823
txs_175224,BBSA,335,9/29/2018 13:58,10/3/2018 14:02,4.002777778,-75.99423333,1.063333333
txs_175245,BBSA,356,9/29/2018 13:58,10/5/2018 14:02,6.002777778,-69.670875,-4.360400007
ak_171300,BBSA,301,9/30/2018 15:00,10/6/2018 15:00,6,-66.92493987,-13.37788003
txs_175241,BBSA,353,10/1/2018 13:58,10/11/2018 13:58,10,-64.19868515,-16.0464286
br_169511,BBSA,318,10/1/2018 21:42,10/7/2018 14:39,5.70625,-74.21399998,-4.54109097
txs_175228,BBSA,343,10/3/2018 13:58,10/7/2018 13:58,4,-65.62973333,-14.1793
txs_176529,BBSA,362,10/5/2018 13:58,10/15/2018 13:58,10,-65.69348333,-14.18795001
txs_175239,BBSA,350,10/5/2018 14:02,10/7/2018 13:58,1.997222222,-63.79579846,-16.37910116
ak_172769,BBSA,306,10/6/2018 20:44,10/16/2018 15:00,9.761111111,-71.96992,-3.436620003
ak_172767,BBSA,304,10/8/2018 15:00,10/10/2018 15:00,2,-66.84854982,-13.50505007
ak_175246,BBSA,316,10/8/2018 15:00,10/12/2018 21:10,4.256944444,-66.65466667,-14.31316667
txs_175224,BBSA,336,10/9/2018 13:58,10/13/2018 21:01,4.29375,-65.58702497,-14.41105004
ak_172770,BBSA,308,10/10/2018 15:00,10/16/2018 15:00,6,-64.42477544,-15.02185061
ak_175237,BBSA,313,10/12/2018 15:00,10/22/2018 15:00,10,-64.85516662,-14.7176667
ak_173474,BBSA,310,10/16/2018 15:00,10/22/2018 15:00,6,-66.31412,-14.40434001
txs_175224,BBSA,337,10/17/2018 13:58,10/21/2018 13:58,4,-65.3112,-14.51336667
txs_175227,BBSA,341,10/17/2018 14:02,10/21/2018 14:02,4,-65.4206,-14.5418
txs_176526,BBSA,358,10/19/2018 13:58,10/23/2018 13:58,4,-71.57610001,-3.795266671
ak_172769,BBSA,307,10/20/2018 15:00,10/24/2018 15:00,4,-63.72113334,-15.44286667
txs_176526,BBSA,359,10/25/2018 13:58,10/29/2018 13:58,4,-66.6043,-12.15516667
txs_176526,BBSA,360,10/31/2018 13:58,11/2/2018 13:58,2,-63.08475,-18.0513
txn_169493,BBSA,322,9/19/2019 21:56,10/11/2019 14:39,21.69652778,-67.03142358,-13.87336206
