"loc_id","id","species","stop_id","lon","lat","timestamp","lc","used","pair","sim"
138,"KCV","HUGO",57,-64.3245621776045,-15.2028702974543,"2019-09-12 18:01:00","G",0,13,0
139,"KCV","HUGO",57,-64.3230844593135,-15.2012702225309,"2019-09-12 18:01:00","G",0,13,0
140,"KCV","HUGO",57,-64.3233411462008,-15.2036724061104,"2019-09-12 18:01:00","G",0,13,0
141,"KCV","HUGO",57,-64.3409761228699,-15.1912807369734,"2019-09-12 18:01:00","G",0,13,0
142,"KCV","HUGO",57,-64.3218980396491,-15.2036965976049,"2019-09-12 18:01:00","G",0,13,0
143,"KCV","HUGO",57,-64.322604955659,-15.2063710362515,"2019-09-12 18:01:00","G",0,13,0
144,"KCV","HUGO",57,-64.3229828,-15.2029314,"2019-09-12 20:13:00","G",1,14,0
145,"KCV","HUGO",57,-64.3347546417416,-15.2070169654498,"2019-09-12 20:13:00","G",0,14,0
146,"KCV","HUGO",57,-64.3221470613912,-15.2026882065447,"2019-09-12 20:13:00","G",0,14,0
147,"KCV","HUGO",57,-64.3214903671754,-15.2012324782933,"2019-09-12 20:13:00","G",0,14,0
148,"KCV","HUGO",57,-64.2505673686847,-15.2145182942439,"2019-09-12 20:13:00","G",0,14,0
149,"KCV","HUGO",57,-64.3227899983601,-15.2034952791495,"2019-09-12 20:13:00","G",0,14,0
150,"KCV","HUGO",57,-64.3229675265622,-15.2047570267257,"2019-09-12 20:13:00","G",0,14,0
151,"KCV","HUGO",57,-64.3222915801442,-15.203812041279,"2019-09-12 20:13:00","G",0,14,0
152,"KCV","HUGO",57,-64.3221821281192,-15.202561092781,"2019-09-12 20:13:00","G",0,14,0
153,"KCV","HUGO",57,-64.3237145798856,-15.2037205552291,"2019-09-12 20:13:00","G",0,14,0
154,"KCV","HUGO",57,-64.3230665619844,-15.203680202729,"2019-09-12 20:13:00","G",0,14,0
155,"KCV","HUGO",57,-64.3224182,-15.2017794,"2019-09-12 22:30:00","G",1,15,0
156,"KCV","HUGO",57,-64.3236903161118,-15.203086236052,"2019-09-12 22:30:00","G",0,15,0
157,"KCV","HUGO",57,-64.3222387933846,-15.2008124777174,"2019-09-12 22:30:00","G",0,15,0
158,"KCV","HUGO",57,-64.3233502475295,-15.2031904989991,"2019-09-12 22:30:00","G",0,15,0
159,"KCV","HUGO",57,-64.3211340779678,-15.202219843407,"2019-09-12 22:30:00","G",0,15,0
160,"KCV","HUGO",57,-64.3233805362694,-15.2021125528266,"2019-09-12 22:30:00","G",0,15,0
161,"KCV","HUGO",57,-64.3226050653983,-15.2026026121265,"2019-09-12 22:30:00","G",0,15,0
162,"KCV","HUGO",57,-64.3221444995037,-15.2028801860821,"2019-09-12 22:30:00","G",0,15,0
163,"KCV","HUGO",57,-64.3256031074101,-15.2027861911551,"2019-09-12 22:30:00","G",0,15,0
164,"KCV","HUGO",57,-64.3230921859218,-15.2032246330169,"2019-09-12 22:30:00","G",0,15,0
165,"KCV","HUGO",57,-64.3223737634858,-15.2016378954138,"2019-09-12 22:30:00","G",0,15,0
166,"KCV","HUGO",57,-64.3253,-15.20832,"2019-09-13 00:04:00","3",1,16,0
167,"KCV","HUGO",57,-64.3219291049263,-15.2022379651796,"2019-09-13 00:04:00","3",0,16,0
168,"KCV","HUGO",57,-64.3198192690128,-15.2037239679486,"2019-09-13 00:04:00","3",0,16,0
169,"KCV","HUGO",57,-64.339531341676,-15.2129918083123,"2019-09-13 00:04:00","3",0,16,0
170,"KCV","HUGO",57,-64.3218806231838,-15.2019373492891,"2019-09-13 00:04:00","3",0,16,0
171,"KCV","HUGO",57,-64.3115000052213,-15.2156013745967,"2019-09-13 00:04:00","3",0,16,0
172,"KCV","HUGO",57,-64.3220940971363,-15.2017625222308,"2019-09-13 00:04:00","3",0,16,0
173,"KCV","HUGO",57,-64.3234009022141,-15.2022209514493,"2019-09-13 00:04:00","3",0,16,0
174,"KCV","HUGO",57,-64.3233492764561,-15.2034994132631,"2019-09-13 00:04:00","3",0,16,0
175,"KCV","HUGO",57,-64.3231437843071,-15.2029641172019,"2019-09-13 00:04:00","3",0,16,0
176,"KCV","HUGO",57,-64.3220039839449,-15.2022391120822,"2019-09-13 00:04:00","3",0,16,0
177,"KCV","HUGO",57,-64.3230057,-15.2029057,"2019-09-13 02:16:00","G",1,17,0
178,"KCV","HUGO",57,-64.3408293523877,-15.212075669753,"2019-09-13 02:16:00","G",0,17,0
179,"KCV","HUGO",57,-64.3255905129461,-15.2087403292287,"2019-09-13 02:16:00","G",0,17,0
180,"KCV","HUGO",57,-64.3256200808653,-15.2083386324953,"2019-09-13 02:16:00","G",0,17,0
181,"KCV","HUGO",57,-64.3250181500764,-15.2081626624019,"2019-09-13 02:16:00","G",0,17,0
182,"KCV","HUGO",57,-64.3250264795071,-15.2086927015299,"2019-09-13 02:16:00","G",0,17,0
183,"KCV","HUGO",57,-64.3234592616233,-15.2067214170408,"2019-09-13 02:16:00","G",0,17,0
184,"KCV","HUGO",57,-64.3259509622431,-15.2091616995336,"2019-09-13 02:16:00","G",0,17,0
185,"KCV","HUGO",57,-64.3313264598981,-15.2017892571797,"2019-09-13 02:16:00","G",0,17,0
186,"KCV","HUGO",57,-64.3096068589737,-15.2029535059862,"2019-09-13 02:16:00","G",0,17,0
187,"KCV","HUGO",57,-64.3247874419949,-15.2096026585434,"2019-09-13 02:16:00","G",0,17,0
188,"KCV","HUGO",57,-64.3228836,-15.2024193,"2019-09-13 04:28:00","G",1,18,0
189,"KCV","HUGO",57,-64.3228682494495,-15.2024969766535,"2019-09-13 04:28:00","G",0,18,0
190,"KCV","HUGO",57,-64.3224614498455,-15.2034576119276,"2019-09-13 04:28:00","G",0,18,0
191,"KCV","HUGO",57,-64.3222019823975,-15.2032033047471,"2019-09-13 04:28:00","G",0,18,0
192,"KCV","HUGO",57,-64.3231412439603,-15.2040941746176,"2019-09-13 04:28:00","G",0,18,0
193,"KCV","HUGO",57,-64.3232891194357,-15.2033189992764,"2019-09-13 04:28:00","G",0,18,0
194,"KCV","HUGO",57,-64.320812345166,-15.2022669703733,"2019-09-13 04:28:00","G",0,18,0
195,"KCV","HUGO",57,-64.3154528427001,-15.2050106429005,"2019-09-13 04:28:00","G",0,18,0
196,"KCV","HUGO",57,-64.322631303999,-15.2027847803284,"2019-09-13 04:28:00","G",0,18,0
197,"KCV","HUGO",57,-64.3249003383196,-15.2046734005252,"2019-09-13 04:28:00","G",0,18,0
198,"KCV","HUGO",57,-64.3231229661526,-15.2033301339888,"2019-09-13 04:28:00","G",0,18,0
199,"KCV","HUGO",57,-64.323082,-15.2027521,"2019-09-13 06:45:00","G",1,19,0
200,"KCV","HUGO",57,-64.3227538803585,-15.2017524428082,"2019-09-13 06:45:00","G",0,19,0
201,"KCV","HUGO",57,-64.3211991100164,-15.2050637755872,"2019-09-13 06:45:00","G",0,19,0
202,"KCV","HUGO",57,-64.3232525400305,-15.2037670747858,"2019-09-13 06:45:00","G",0,19,0
203,"KCV","HUGO",57,-64.3232232528099,-15.2025174993051,"2019-09-13 06:45:00","G",0,19,0
204,"KCV","HUGO",57,-64.3233868280625,-15.2016544777904,"2019-09-13 06:45:00","G",0,19,0
205,"KCV","HUGO",57,-64.3258694645991,-15.2036765814818,"2019-09-13 06:45:00","G",0,19,0
206,"KCV","HUGO",57,-64.3252228957632,-15.2022100535228,"2019-09-13 06:45:00","G",0,19,0
207,"KCV","HUGO",57,-64.3228113233074,-15.2011218032265,"2019-09-13 06:45:00","G",0,19,0
208,"KCV","HUGO",57,-64.3225163554712,-15.2023342351347,"2019-09-13 06:45:00","G",0,19,0
209,"KCV","HUGO",57,-64.322139503035,-15.2003950004861,"2019-09-13 06:45:00","G",0,19,0
210,"KCV","HUGO",57,-64.3228836,-15.2027521,"2019-09-13 09:01:00","G",1,20,0
211,"KCV","HUGO",57,-64.3226307474468,-15.2034228895853,"2019-09-13 09:01:00","G",0,20,0
212,"KCV","HUGO",57,-64.3221275280323,-15.201222700206,"2019-09-13 09:01:00","G",0,20,0
213,"KCV","HUGO",57,-64.3189970621408,-15.2033523486714,"2019-09-13 09:01:00","G",0,20,0
214,"KCV","HUGO",57,-64.3211358081114,-15.2041468511373,"2019-09-13 09:01:00","G",0,20,0
215,"KCV","HUGO",57,-64.3231309333139,-15.2032114134274,"2019-09-13 09:01:00","G",0,20,0
216,"KCV","HUGO",57,-64.3231880716777,-15.2041147592585,"2019-09-13 09:01:00","G",0,20,0
217,"KCV","HUGO",57,-64.3229192492497,-15.2022999978479,"2019-09-13 09:01:00","G",0,20,0
218,"KCV","HUGO",57,-64.3228712502617,-15.2025107124347,"2019-09-13 09:01:00","G",0,20,0
219,"KCV","HUGO",57,-64.322885761938,-15.2081521553343,"2019-09-13 09:01:00","G",0,20,0
220,"KCV","HUGO",57,-64.3231699228571,-15.2030245283559,"2019-09-13 09:01:00","G",0,20,0
221,"KCV","HUGO",57,-64.3227005,-15.2020864,"2019-09-13 11:14:00","G",1,21,0
222,"KCV","HUGO",57,-64.3613738018979,-15.1225923370323,"2019-09-13 11:14:00","G",0,21,0
223,"KCV","HUGO",57,-64.3229137874909,-15.2038665412398,"2019-09-13 11:14:00","G",0,21,0
