"stop_id","scale","used","forcat_prop","forest_prop","savanna_prop","wetland_prop","grassland_prop","ag_prop","pasture_prop","farming_prop","RLO_prop"
211,15,1,0.120650768705916,0.120650768705916,0,0.0911232929292231,0.756248959907579,0,0.000108702076028418,0.000108702076028418,0.0318682763812543
212,15,1,0.049699751564502,0.049699751564502,0,0.310812582324872,0.567730496852396,0,0.0517352722761918,0.0520306992138663,0.0197264700443644
213,15,1,0.536389672305003,0.536389672305003,0,0.000285375874999909,8.38604544955871e-05,0,0.462388718686225,0.462388718686225,0.000852372679276043
17,20,1,0.0551584831510888,0.0532108140213052,0.00194766912978368,0.00112046578379237,0.930879024556646,0.00712230095503321,0.00438582480769734,0.0115081257627306,0.00133390074574249
18,20,1,0.389221341346878,0.389207075348761,1.42659981168659e-05,0.118450196343212,0.0794934478620343,1.2126098399336e-05,0.0609597064771447,0.0609746857751674,0.272727016142743
19,20,1,0.141982654929805,0.141942694694828,3.99602349769273e-05,0.0116120888956507,0.194316892879281,0.00022953069424002,0.0172281193479913,0.0174576500422314,0.634630713253032
20,20,1,0.146429851107701,0.145693479101985,0.000736372005716044,0.0279146708608633,0.224139536708979,0.00278951515077326,0.0590196684397833,0.0618091835905565,0.536942150540994
21,20,1,0.178606011948511,0.177922860276387,0.000683151672124002,0.0227322437946026,0.283446390769215,0.00321369295148068,0.0583512392795679,0.0615649322310486,0.451130155627919
22,20,1,0.447065654766578,0.447062088758708,3.56600786988011e-06,0.043170824052425,0.0590807373744646,1.21244267575924e-05,0.0393861569705706,0.0393989945989021,0.404282146715593
23,20,1,0.364395524279969,0.364395524279969,0,0.0100704677488477,0.0784967252304577,0.000689437540632293,0.135006068956366,0.135695506496998,0.40284085435297
24,20,1,0.493057104939081,0.493057104939081,0,0.0196245766659881,0.126050524960941,0.000107395096789754,0.288069453555336,0.288176848652126,0.0730852331702716
25,20,1,0.247920588220889,0.247920588220889,0,0.0494126508911261,0.159254486415688,0.00159411835083774,0.156690072268217,0.158284190619055,0.385123860685852
26,20,1,0.422781070720662,0.422760026769007,2.10439516546983e-05,0.000157829637410237,0.00369790095247401,0.21000694918048,0.358998655057667,0.569005604238147,0.00162836172313708
27,20,1,0.153341966651266,0.153341966651266,0,0.0238067133701563,0.157818699528662,0.000435298279561836,0.0142327006041268,0.0146679988836887,0.645102507609688
28,20,1,0.24092167384179,0.24092167384179,0,0.0244808261949992,0.227345010115693,0.000148091045302185,0.0503940051903009,0.0505420962356031,0.456710393611915
29,20,1,0.275005312147632,0.274996044823456,9.26732417646783e-06,0.11276296109229,0.113396015780808,0,0.0884263891212941,0.0884263891212941,0.408530906534515
30,20,1,0.403495166327968,0.403463062039497,3.21042884715495e-05,0.0841984555450757,0.0931988669388006,0.000395208687163626,0.0544840746558132,0.0548792833429768,0.360829453838991
31,20,1,0.304092418348599,0.304092418348599,0,0.0136505773872755,0.103120056166497,0.000703704517431472,0.0982659867613541,0.0989696912787856,0.471666420604719
32,20,1,0.792243994024203,0.792220468605485,2.35254187172978e-05,0.0269697720566966,0.0774384572460376,7.91309538672745e-05,0.0475401325960813,0.0476199764414248,0.0557278002316383
33,20,1,0.720688901429576,0.72067749493065,1.14064989265702e-05,0.0469043706863445,0.12136822386028,4.94645062519132e-05,0.0241840338627194,0.0242334983689713,0.0868050056548278
